State,Abbreviation,Median_Rent,Exercised,Drank,Own_Home,Healthy,Unemployed,College_Educated,Median_Income,Population
California,CA,1375,79.4028,51.5988,54.336,81.1312,5.5,26.00047619,66637,39250017
Texas,TX,956,74.59041667,49.06375,64.18833333,80.91583333,4.6,23.91789474,58146,27862596
Florida,FL,1086,69.70692308,50.86269231,64.13307692,79.73576923,4.8,23.99272727,51176,20612439
New York,NY,1194,71.818,54.17125,51.4516,80.3276,4.8,28.0645,61437,19745289
Illinois,IL,950,74.60217391,54.52,64.7626087,80.20130435,5.8,27.00421053,61386,12801539
Pennsylvania,PA,881,76.38608696,56.46347826,66.81608696,82.05086957,5.4,24.55052632,60979,12784227
Ohio,OH,759,73.49166667,51.55125,63.50416667,80.15,5,22.48263158,53985,11614373
Georgia,GA,933,69.32478261,46.50869565,62.98826087,79.62130435,5.4,24.30473684,53527,10310371
North Carolina,NC,839,76.12291667,47.65166667,63.01916667,79.68791667,5.1,23.39157895,53764,10146788
Michigan,MI,818,74.86625,54.10041667,69.43,80.17625,5,22.542,57091,9928300
New Jersey,NJ,1244,67.85565217,52.77,61.1073913,79.38869565,5,30.51421053,68468,8944469
Virginia,VA,1159,74.2925,50.17,62.58666667,81.5,4.1,29.63736842,66451,8411808
Washington,WA,1135,80.3512,54.97,58.938,82.778,5.3,26.18904762,70310,7288000
Arizona,AZ,976,75.6584,49.3408,60.5052,80.01,5.4,23.37333333,57100,6931071
Massachusetts,MA,1179,77.45,57.70416667,57.04375,83.07208333,3.9,32.67,72266,6811779
Tennessee,TN,806,70.40217391,46.34954545,65.33043478,77.20217391,4.7,20.57117647,51344,6651194
Indiana,IN,768,72.4925,49.63083333,66.90291667,79.52666667,4.4,19.64473684,56094,6633053
Missouri,MO,771,73.2925,52.20782609,64.69666667,78.64458333,4.6,22.89,55016,6093000
Maryland,MD,1314,75.0336,51.6876,65.3468,82.806,4.4,30.54095238,73760,6016447
Wisconsin,WI,802,77.1632,64.17391304,62.1344,81.2828,4,23.31789474,59817,5778708
Colorado,CO,1171,82.3264,58.9024,61.3948,82.0644,3.3,30.07809524,70566,5540545
Minnesota,MN,912,78.6348,58.0125,66.004,84.0156,3.9,25.5065,70218,5519952
South Carolina,SC,841,72.3004,49.6728,66.1724,79.0112,5,21.61142857,54336,4961119
Alabama,AL,743,70.21583333,43.09791667,68.7475,77.05541667,5.9,19.12388889,47221,4863300
Louisiana,LA,808,70.09782609,51.55608696,66.0826087,77.43521739,6,18.46777778,42196,4681666
Kentucky,KY,707,69.99958333,40.5873913,65.88083333,76.30625,5.1,19.27789474,45369,4436974
Oregon,OR,1015,81.17608696,56.4373913,58.80173913,81.48913043,4.8,25.02789474,59135,4093465
Oklahoma,OK,744,71.54458333,39.38166667,64.185,78.54375,4.8,20.219,50943,3923561
Connecticut,CT,1115,76.3128,57.56375,62.05,83.0168,5.1,28.807,75923,3576452
Puerto Rico,PR,463,60.39473684,31.21210526,71.38947368,68.89684211,11.5,28.42,20078,3411307
Iowa,IA,741,75.91954545,55.58409091,66.50363636,83.96590909,3.6,22.46611111,59094,3134693
Utah,UT,954,82.29458333,33.0225,65.56958333,85.57208333,3.4,23.017,67481,3051217
Mississippi,MS,728,69.05238095,40.61,68.89809524,76.95238095,5.8,17.881875,41099,2988726
Arkansas,AR,701,67.0173913,40.71652174,68.13363636,72.83434783,3.9,17.44058824,45907,2988248
Nevada,NV,1003,74.6732,51.8852,53.5716,78.3244,5.7,19.595,55431,2940058
Kansas,KS,789,74.32916667,51.20625,63.58791667,82.15125,4,24.075,56810,2907289
New Mexico,NM,804,79.91043478,48.65695652,67.8573913,78.12565217,6.7,21.93555556,48451,2081015
Nebraska,NE,769,75.03041667,54.97125,61.54083333,82.94791667,3.1,23.90842105,59374,1907116
West Virginia,WV,682,71.51666667,36.87380952,72.59238095,73.0247619,6.1,16.42823529,44354,1831102
Idaho,ID,790,76.84454545,47.635,65.55954545,81.50045455,3.8,20.32882353,56564,1683140
Hawaii,HI,1483,77.68416667,48.9975,55.66541667,83.79666667,2.9,24.94,72133,1428557
New Hampshire,NH,1026,78.77565217,61.36391304,67.9373913,83.17,2.9,30.44888889,76260,1334795
Maine,ME,797,77.905,58.48636364,68.76318182,81.56181818,3.8,23.69058824,50856,1331479
Rhode Island,RI,948,73.35708333,56.83083333,56.06125,81.87541667,5.2,24.7595,61528,1056426
Montana,MT,741,78.26347826,54.97695652,64.1626087,81.31913043,4.1,23.13388889,57075,1042520
Delaware,DE,1048,71.59782609,52.60347826,67.80956522,81.87,4.5,25.93684211,58046,952065
South Dakota,SD,706,80.03818182,56.715,63.63363636,84.26,3,21.604375,57450,865454
North Dakota,ND,776,75.28956522,60.16545455,61.36863636,82.02521739,3.1,21.33944444,60184,757952
Alaska,AK,1208,79.88913043,55.51909091,62.12636364,84.82913043,6.9,23.77352941,75723,741894
District of Columbia,DC,1376,81.4573913,61.51652174,39.07521739,85.77956522,6.1,46.68894737,70982,681170
Vermont,VT,925,78.63043478,61.70304348,67.60956522,84.13826087,3.2,29.32105263,60837,624594
Wyoming,WY,840,74.97047619,52.44857143,67.0947619,82.13380952,5.3,20.82125,57829,585501
